year,month,day,open,high,low,close,vol
2005,06,20,276.09,287.67,271.73,286.6,19981801
2005,06,21,288.25,290.3,284.97,287.91,14522448
2005,06,22,289.75,292.32,288.67,289.4,9909858
2005,06,23,288,294.81,286.5,289.17,13601156
2005,06,24,291.27,296.15,289.58,296.14,13996109
2005,06,27,298.88,304.47,293.86,303.95,17111768
2005,06,28,306.28,309.25,302.75,302.85,18144822
2005,06,29,302.4,304.38,292.15,292.51,17674510
2005,06,30,294.34,298.93,291.04,294.2,14367583
2005,07,01,295.04,296.24,289.22,291.12,8864392
2005,07,05,292.1,295.88,290.23,295.88,7228643
2005,07,06,297.3,297.6,291.38,291.6,7643461
2005,07,07,289.39,295.8,288.51,295.6,10144279
2005,07,08,296.35,297.5,294.05,295.85,7115764
2005,07,11,296.4,296.6,291.02,293.48,8063687
2005,07,12,293.39,294.4,290.93,291.89,5645643
2005,07,13,292.51,299.24,292.1,299.04,11139832
2005,07,14,305.34,306.75,300.07,300.51,9826278
2005,07,15,301.24,303.4,299.78,301.04,7542206
2005,07,18,300.12,301.9,297.75,299.38,5923835
2005,07,19,302.1,310.35,301.8,310,10951095
2005,07,20,305.82,312.61,301.8,311.8,13123923
2005,07,21,314.05,317.8,311.21,313.06,12772213
2005,07,22,306.36,309.25,296.33,302.29,21204324
2005,07,25,302.37,303.29,294.96,295.8,9313611
2005,07,26,295,298,292.09,296.14,9503215
2005,07,27,298.18,298.23,292.4,296.87,6961197
2005,07,28,297.2,297.41,293.28,293.63,5710652
2005,07,29,292.34,292.84,286.99,287.64,8027363
2005,08,01,288.12,292.5,288.1,291.76,5490316
2005,08,02,291.6,299.52,291.12,299,7087583
2005,08,03,298,299.72,295.6,297.26,5752983
2005,08,04,295.63,299,295.25,297.78,5070262
2005,08,05,297.5,298.51,291.31,292.48,5747889
2005,08,08,293.6,295.65,290.49,291.15,4321967
2005,08,09,291.96,292.68,288.51,291.55,5637489
2005,08,10,291.3,292.33,284.88,285.67,6713927
2005,08,11,285.89,286.58,280.62,283.79,7250369
2005,08,12,282.77,290.2,281.64,289.51,6436531
2005,08,15,289.8,292.77,283.98,284.31,7784971
2005,08,16,284.88,287.79,283.34,285.9,6880863
2005,08,17,285.57,286.57,284,285.08,3712156
2005,08,18,275.91,280.5,275,280,10220453
2005,08,19,281.04,281.45,279.62,279.99,5072397
2005,08,22,281.24,281.47,273.35,274.02,6514206
2005,08,23,276.16,279.74,274.12,279.52,5595340
2005,08,24,277.57,284.75,276.45,282.72,8202725
2005,08,25,282.65,284,279.97,282.46,4164261
2005,08,26,283.48,285.02,282.66,283.6,3642709
2005,08,29,282.24,289.12,282.24,288.53,5765003
2005,08,30,287.39,289.51,285.88,287.32,4620254
2005,08,31,288.23,288.5,284.36,285.89,4653410
2005,09,01,285.91,287.5,285,286.41,2653066
2005,09,02,286.51,289.99,286.44,288.48,3315874
2005,09,06,289,289.39,286.8,287.24,4048564
2005,09,07,285.89,295.5,285.28,294.78,7220414
2005,09,08,294.89,299.28,293.36,295.58,6477039
2005,09,09,297.28,299,296.56,298.87,4151599
2005,09,12,301.75,311.42,301,309.69,9999001
2005,09,13,308.33,315.53,306.17,311.37,9995846
2005,09,14,308.73,313.28,300.3,301.57,10823571
2005,09,15,299.66,306.75,297.91,302.94,13959767
2005,09,16,304.02,304.5,299.87,300.19,6946407
2005,09,19,301,306,300.71,303.75,5654690
2005,09,20,306.15,311.3,305.23,308.11,9024294
2005,09,21,308.3,313.76,305.96,311.95,9567543
2005,09,22,311.52,319.22,310.17,310.7,11912858
2005,09,23,313,317.21,312.59,316.6,7906504
2005,09,26,319.5,320.95,312.56,314,9355144
2005,09,27,314.95,318.41,313.38,313.78,6654874
2005,09,28,314.22,315.1,305.62,305.75,7647990
2005,09,29,306.67,310.72,306.08,309.54,5380787
2005,09,30,314.22,317.5,312.29,316.31,8145310
2005,10,03,313.63,320.11,312.79,318.77,8821004
2005,10,04,319.63,321.28,310.74,310.8,8639192
2005,10,05,312.69,314.9,308,310.41,7976782
2005,10,06,314.14,314.48,310.09,312.77,7561988
2005,10,07,314.79,316.67,310.54,312.83,6500458
2005,10,10,313.31,314.82,309.15,310.58,5388188
2005,10,11,310.61,312.65,304.86,305.91,8279578
2005,10,12,305.2,307.19,299,300.61,8826613
2005,10,13,302,302,290.69,297.36,10286430
2005,10,14,299.9,300.23,292.54,295.52,8193031
2005,10,17,297.5,305.2,294.56,304.88,7285763
2005,10,18,304.96,307.96,302.74,303.34,6561969
2005,10,19,304,309.87,303.96,308.71,6639591
2005,10,20,309.99,311.13,301.21,303.26,7582154
2005,10,21,345.8,346.43,333,339.59,19188248
2005,10,24,343.37,349.3,342.19,348.47,8998831
2005,10,25,345.78,347.4,342.86,346.51,6534417
2005,10,26,346.28,356,346.19,355.6,8589368
2005,10,27,356.6,357.09,351.68,353.35,4899375
2005,10,28,355.27,358.95,355.02,358.25,5599758
2005,10,31,360.24,374.75,359.51,371.62,13782673
2005,11,01,371.86,383.9,369.01,379.7,15842075
2005,11,02,381.7,385,377.17,379.61,10046762
2005,11,03,382.41,386.58,381.38,385.83,7066023
2005,11,04,389.85,391.79,385.45,390.05,8291720
2005,11,07,395.1,397.47,392.15,394.9,8923893
2005,11,08,394.41,395.59,388.58,389.66,7514315
2005,11,09,386.67,388.29,378.03,379.14,9839094
2005,11,10,378.36,391.22,377.43,391.08,8684119
2005,11,11,395.12,396.9,388.85,390.49,6646990
2005,11,14,392.12,398.22,391.53,396.96,7371465
2005,11,15,394.38,397,390.95,392.74,8181230
2005,11,16,396.2,398.85,394.11,398.12,8226742
2005,11,17,401.8,403.81,399.53,403.12,8436959
2005,11,18,403.49,404.5,399.85,400.11,6396583
2005,11,21,399.17,409.98,393.49,409.11,9856089
2005,11,22,408.65,417.31,406.23,416.37,9321935
2005,11,23,416.99,424.72,415.78,423.05,9620534
2005,11,25,425.77,428.82,425.3,428.74,4566006
2005,11,28,429.82,431.24,422.44,423.75,10166439
2005,11,29,424.46,426.4,402.14,403.29,20544506
2005,11,30,404.25,408.45,395.56,404.59,14780511
2005,12,01,409.2,415.44,408.29,413.89,8983498
2005,12,02,416.9,419.53,413.86,417.46,7033869
2005,12,05,416.97,417.5,404.28,405.53,9618255
2005,12,06,408.7,416.41,401.7,404.1,14207494
2005,12,07,406.16,406.7,399.01,403.72,11172045
2005,12,08,405.3,410.49,402.64,410.24,8532921
2005,12,09,415,415.78,408.56,408.58,7080260
2005,12,12,414.63,415.21,409.95,412.3,6376943
2005,12,13,413,418,411.64,417.29,7725312
2005,12,14,417.04,419.73,415.49,418.9,6230673
2005,12,15,419.11,423.14,416.5,422.4,5714594
2005,12,16,425.34,432.5,422.75,430.35,11740644
2005,12,19,432.2,446.21,420.11,424.55,21211227
2005,12,20,427.87,432.2,424.67,429.51,9546585
2005,12,21,433.55,436.86,420.71,425.88,10886964
2005,12,22,431.76,432.86,425.93,431.82,7073780
2005,12,23,432.15,432.5,428.78,430.82,4329949
2005,12,27,431.58,431.86,422.76,424.62,6453988
2005,12,28,424.34,427.78,421.26,426.65,6797337
2005,12,29,428,428.73,419.17,419.54,6493384
2005,12,30,417.27,418.21,413.74,414.79,7141303
2006,01,03,422.74,435.67,418.22,434.89,12358925
2006,01,04,443.9,448.96,439.75,444.78,14052692
2006,01,05,446,451.18,441.5,451.05,10222509
2006,01,06,456.87,470.5,453.24,465.77,17017628
2006,01,09,466.15,473.4,460.94,466.89,12298437
2006,01,10,464.42,470.25,462.04,469.47,8696421
2006,01,11,471.27,475.11,469.18,471.65,8549928
2006,01,12,473.72,474.99,461.5,463.42,9729354
2006,01,13,464.33,466.89,461.61,465.84,7283882
2006,01,17,464.01,469.9,462.53,467.19,6880798
2006,01,18,447.3,457.36,443.25,444.64,18637642
2006,01,19,451.17,453.49,433,436.32,13979681
2006,01,20,438.7,440.03,394.74,399.49,39858176
2006,01,23,407.45,428.39,407.27,427.87,21129412
2006,01,24,436.03,444.95,434.48,442.99,14541271
2006,01,25,451.26,454.23,429.22,432,17889139
2006,01,26,439.54,439.99,423.56,434,12344648
2006,01,27,435,438.22,428.98,432.98,7950841
2006,01,30,429.12,433.28,425,426.96,8013555
2006,01,31,430.85,439.6,423.97,433.19,13437823
2006,02,01,389.03,400.99,387.52,400.95,22755886
2006,02,02,403.82,406.5,396.66,396.85,10891310
2006,02,03,393.62,393.9,372.57,381.44,17569427
2006,02,06,385.31,389.9,379.56,384.68,8414488
2006,02,07,382.99,383.7,363.35,367.99,16014821
2006,02,08,368.48,370.69,354.67,369.08,20175510
2006,02,09,371.2,374.4,356.11,359.15,11234474
2006,02,10,361.95,364.5,353.14,362.51,14266766
2006,02,13,346.6,350.6,341.89,345.2,18039622
2006,02,14,345.33,351.69,342.4,343.13,13795768
2006,02,15,341.31,346,337.83,342.29,12105535
2006,02,16,345.63,367,344.49,366.84,20581102
2006,02,17,369.86,372.14,363.62,368.78,13289939
2006,02,21,366.44,373.54,365.11,366.4,8019486
2006,02,22,367.15,368.95,363.86,365.42,6231816
2006,02,23,365.61,381.24,365.39,378.01,12247165
2006,02,24,377.3,380.07,373.49,376.96,6231525
2006,02,27,381.27,391.7,380.28,390.61,9739522
2006,02,28,392.95,397.54,338.51,362.45,38415517
2006,03,01,368.56,369.45,361.3,364.99,11465617
2006,03,02,364.42,381.1,362.2,375.82,17652552
2006,03,03,384.3,387.24,375.76,377.91,11230247
2006,03,06,380.91,383.4,367.14,368.05,8663775
2006,03,07,364.59,368.45,358.15,364.42,9496979
2006,03,08,353.94,360.03,350.54,354.12,10856167
2006,03,09,355.59,358.53,341.5,342.87,13344432
2006,03,10,343.51,344.5,331.55,337,18879952
2006,03,13,341,346.1,335.45,336.88,13354810
2006,03,14,337.21,351.96,332.62,351.87,17924314
2006,03,15,350.77,352.3,340.53,344.69,12265160
2006,03,16,348.61,348.75,337.9,339.01,9624892
